t,x,y,z,velocity,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0037,127.0999984741211,-2.0999999046325684,0.2717998325824737,0.0,0.0,0.0,0.0,False,False,False,0
0.0092,127.0999984741211,-2.0999999046325684,0.2707407772541046,0.0,0.0,0.0,0.0,False,False,False,0
0.0186,127.0999984741211,-2.0999999046325684,0.2673429250717163,0.0,0.0,0.0,0.0,False,False,False,0
0.0278,127.0999984741211,-2.0999999046325684,0.2673198878765106,0.0,0.0,0.0,0.0,False,False,False,0
0.0367,127.0999984741211,-2.0999999046325684,0.2672975957393646,0.0,0.0,0.0,0.0,False,False,False,0
0.0426,127.0999984741211,-2.0999999046325684,0.2672826051712036,0.0,0.0,0.0,0.0,False,False,False,0
0.0516,127.0999984741211,-2.0999999046325684,0.2672601342201233,0.0,0.0,0.0,0.0,False,False,False,0
0.0608,127.0999984741211,-2.0999999046325684,0.26723712682724,0.0,0.0,0.0,0.0,False,False,False,0
0.0701,127.0999984741211,-2.0999999046325684,0.267213761806488,0.0,0.0,0.0,0.0,False,False,False,0
0.0796,127.0999984741211,-2.0999999046325684,0.2671899497509002,0.0,0.0,0.0,0.0,False,False,False,0
0.0839,127.0999984741211,-2.0999999046325684,0.2671789824962616,0.0,0.0,0.0,0.0,False,False,False,0
0.0934,127.0999984741211,-2.0999999046325684,0.2671551704406738,0.0,0.0,0.0,0.0,False,False,False,0
0.1021,127.0999984741211,-2.0999999046325684,0.2671333849430084,0.0,0.0,0.0,0.0,False,False,False,0
0.1118,127.0999984741211,-2.0999999046325684,0.26710906624794,0.0,0.0,0.0,0.0,False,False,False,0
0.1209,127.0999984741211,-2.0999999046325684,0.2670861482620239,0.0,0.0,0.0,0.0,False,False,False,0
0.1254,127.0999984741211,-2.0999999046325684,0.2670748829841614,0.0,0.0,0.0,0.0,False,False,False,0
0.1345,127.0999984741211,-2.0999999046325684,0.26705202460289,0.0,0.0,0.0,0.0,False,False,False,0
0.1433,127.0999984741211,-2.0999999046325684,0.2670298814773559,0.0,0.0,0.0,0.0,False,False,False,0
0.1529,127.0999984741211,-2.0999999046325684,0.2670058310031891,0.0,0.0,0.0,0.0,False,False,False,0
0.162,127.0999984741211,-2.0999999046325684,0.2669830322265625,0.0,0.0,0.0,0.0,False,False,False,0
0.1709,127.0999984741211,-2.0999999046325684,0.2669605314731598,0.0,0.0,0.0,0.0,False,False,False,0
0.1755,127.0999984741211,-2.0999999046325684,0.2669490277767181,0.0,0.0,0.0,0.0,False,False,False,0
0.1846,127.0999984741211,-2.0999999046325684,0.2669261395931244,0.0,0.0,0.0,0.0,False,False,False,0
0.1938,127.0999984741211,-2.0999999046325684,0.2669031023979187,0.0,0.0,0.0,0.0,False,False,False,0
